Tree Location ,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920
SU-A9,1.041,0.905,0.707,0.791,0.843,1,0.844,0.927,0.925,1.284,0.81,1.15,0.927,0.864,0.8,0.781,0.928,0.801,0.979,0.98,0.999,0.852,0.736,0.746,0.789,0.808,0.684,1.02,0.946,1.038,0.817,0.774,1.108,0.754,0.722,0.618,0.618,0.587,0.587,0.576,0.576,0.691,0.682,0.839,1.081,0.902,0.903,0.84,0.902,0.766,0.829,0.987,0.704,0.988,1.152,1.122,0.828,0.985,1.295,0.94,0.656,0.866,0.967,1.031,1.074,0.548,0.714,0.726,0.831,0.799,0.916,1.056,1.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-B8,0.083,0.115,0.125,0.183,0.26,0.227,0.149,0.164,0.171,0.155,0.184,0.158,0.223,0.262,0.199,0.176,0.093,0.097,0.109,0.151,0.185,0.288,0.287,0.497,0.28,0.416,0.382,0.477,0.486,0.449,0.381,0.36,0.275,0.315,0.281,0.273,0.206,0.261,0.243,0.308,0.274,0.338,0.407,0.557,0.56,0.365,0.374,0.225,0.261,0.296,0.288,0.297,0.358,0.443,0.487,0.424,0.437,0.555,0.676,0.641,0.677,0.639,0.464,0.77,0.9,0.908,1.129,0.904,1.036,1.064,1.261,1.213,1.2,1.71,1.82,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-B10,0.746,0.564,0.582,0.703,0.659,0.869,0.98,1.017,1.014,1.192,1.081,1.436,1.009,1.505,1.317,1.44,0.833,0.664,0.957,0.668,0.697,0.459,0.475,0.463,0.381,0.475,0.405,0.575,0.613,0.739,0.676,0.66,0.706,0.776,0.581,0.481,0.625,0.588,0.451,0.544,0.772,0.886,1.108,1.138,1.224,0.919,0.96,0.916,0.827,0.76,0.918,1.04,1.017,1.275,1.351,1.517,1.495,1.519,1.984,1.373,1.666,1.667,1.49,1.719,2.258,2.123,2.116,2.566,2.98,5.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-G11,1.92,2.407,2.251,1.891,2.567,1.923,2.587,2.399,2.98,2.505,1.85,2.126,1.978,1.456,1.322,1.266,1.225,0.951,1.077,0.844,1.012,0.909,1.357,1.406,1.466,1.839,2.216,3.195,2.45,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-H8,0.508,0.579,0.862,0.846,0.942,0.925,0.949,1.014,1.008,1.567,1.589,1.738,1.475,1.166,1.675,1.289,0.662,0.858,0.939,0.64,0.476,0.754,0.524,0.682,1.052,1.445,1.8,1.634,1.96,2.262,1.817,1.209,1.726,1.572,1.138,1.103,1.757,2.113,2.411,2.336,2.667,3.406,3.419,2.81,2.774,1.975,1.764,2.662,2.543,3.222,2.841,2.211,2.374,2.131,2.353,2.178,2.361,2.884,3.152,3.962,7.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-H10,1.85,2.049,3.115,2.732,2.082,2.24,2.462,2.381,2.483,3.096,2.251,2.442,1.967,2.293,2.264,2.023,2.045,1.981,1.784,1.795,1.862,1.926,1.287,1.289,1.3,1.533,1.77,2.442,2.298,2.54,2.415,3.017,4.022,2.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-M9,1.002,1.385,1.797,1.121,1.534,1.468,1.627,2.038,2.131,1.961,2.645,1.614,2.725,2.081,1.245,1.933,1.331,1.787,1.765,1.173,0.983,0.898,1.025,0.634,0.454,0.508,0.687,0.803,0.899,0.814,1.215,1.564,1.396,0.718,1.005,1.024,0.782,0.803,1.226,1.438,1.142,1.099,1.216,1.924,2.188,1.946,1.658,1.407,1.226,2.079,2.076,2.248,3,2.869,3.139,5.24,9.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-M17,0.758,0.722,0.66,0.701,0.693,0.766,0.983,0.998,1.082,0.869,0.846,1.174,1.061,0.936,0.852,0.819,0.834,1.015,0.957,0.975,0.927,0.654,0.661,0.629,0.594,0.72,0.645,0.83,0.888,0.813,0.817,0.843,0.857,0.779,0.632,0.683,0.665,0.687,0.764,0.669,0.759,0.706,0.731,0.72,0.728,0.587,0.581,0.599,0.71,0.662,0.626,0.814,0.626,0.913,0.654,0.61,0.547,0.518,0.597,0.565,0.557,0.615,0.592,0.649,0.73,0.682,0.74,0.773,0.776,0.68,0.567,0.64,0.767,0.884,1.09,1.085,1.083,1.171,0.825,0.875,1.117,0.879,0.883,1.181,1.129,1.185,1.322,1.335,1.481,1.279,1.249,1.065,1.145,0.95,1.41,1.855,1.331,1.203,2.041,1.972,2.351,1.849,0.123
SU-N6,2.096,1.486,2.01,1.437,1.439,1.182,1.639,1.191,1.93,1.635,1.367,1.623,0.714,1.231,1.547,1.458,0.474,0.654,0.599,0.999,1.148,1.221,1.711,1.922,1.633,0.927,1.21,1.039,0.73,0.634,1.329,1.214,1.087,0.938,1.151,1.551,1.834,1.374,1.278,0.951,0.991,2.247,1.813,2.069,2.258,1.911,2.175,2.132,2.518,2.344,2.31,2.802,2.363,2.498,2.332,2.014,2.266,1.902,2.422,2.518,2.133,2.312,3.824,2.535,4.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N12,1.172,1.19,0.695,0.813,0.624,0.875,1.119,1.246,1.182,1.278,1.246,1.511,1.076,1.516,1.142,1.614,1.255,1.244,1.468,1.573,1.215,1.182,1.023,0.832,0.579,0.559,0.56,0.866,0.962,1.182,0.824,0.888,1.12,1.647,1.496,0.95,1.383,1.382,1.013,1.235,1.245,1.357,1.18,1.168,1.225,1.557,1.535,1.449,1.291,1.302,1.126,1.462,1.73,1.566,1.786,2.131,2.532,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N14,1.054,1.175,1.275,1.358,1.701,1.26,0.958,1.222,1.219,1.177,1.13,1.429,1.185,1.332,1.378,1.826,1.62,1.399,1.205,1.15,1.693,0.869,1.078,1.055,1.065,1.043,0.995,1.158,1.249,1.078,0.909,0.961,0.983,0.897,0.867,0.867,0.887,0.971,0.939,0.992,0.888,0.834,0.792,0.752,0.698,0.603,0.803,0.792,0.962,1.057,0.962,1.067,1.192,1.758,1.649,2.086,3.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N16,0.264,0.418,0.49,0.423,0.727,0.993,0.644,0.804,0.782,0.961,0.889,0.76,0.613,0.433,0.454,0.454,0.517,0.591,0.57,0.854,0.632,0.915,0.935,0.873,0.966,0.838,0.639,0.608,0.567,0.598,0.576,0.593,0.604,0.688,0.729,0.823,0.868,0.729,0.909,0.68,0.629,0.547,0.65,0.697,0.642,0.884,0.737,0.811,0.821,0.759,1.15,0.823,1.225,1.171,0.946,1.186,0.861,0.707,1.321,1.361,0.77,1.288,0.568,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S5,Ring lost,Ring lost,1.302,0.607,0.858,1.01,1.309,1.329,1.55,1.162,1.5,0.92,0.954,0.957,0.662,0.893,0.699,0.826,0.674,0.566,0.434,0.733,0.765,0.774,0.746,0.77,1.295,1.304,0.827,0.899,0.822,0.953,0.76,0.833,0.68,0.934,0.998,1.241,1.076,1.37,1.773,2.03,1.542,1.342,1.42,1.581,1.394,1.324,1.733,1.59,1.516,1.346,1.438,1.581,2.184,1.93,2.184,2.469,1.647,2.64,2.408,2.559,2.486,2.595,2.064,2.161,2.956,2.781,3.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S7,2.104,1.977,1.377,1.501,1.516,1.683,2.081,2.486,2.338,2.703,2.152,2.916,2.429,3.296,2.367,3.002,2.43,2.282,3.023,3.318,2.176,2.219,2.284,1.945,1.628,1.67,1.438,1.966,2.029,2.852,2.389,2.98,3.276,3.445,3.129,2.558,2.896,2.558,2.093,2.114,2.748,2.642,2.854,2.768,2.706,2.937,3.107,2.896,2.6,2.114,1.86,2.558,2.452,3.192,3.425,2.368,2.557,2.725,2.913,2.698,2.512,3.103,2.685,2.366,2.515,3.467,2.785,2.536,4.18,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S11,1.035,0.769,0.432,0.638,0.724,0.881,0.863,1.095,0.828,0.846,0.838,1.162,0.983,1.159,1.032,1.421,0.953,1.143,1.159,1.381,0.962,0.924,1.004,1.029,0.789,0.653,0.844,0.862,0.647,0.784,0.854,0.699,0.828,0.896,0.759,0.679,0.905,0.952,0.634,0.999,0.915,0.94,1.05,1.043,1.06,0.672,1.026,1.208,1.045,0.869,1.004,1.265,1.104,1.239,1.26,1.556,1.544,1.498,1.803,1.56,1.762,2.246,2.369,2.442,2.601,2.268,2.427,1.648,1.506,1.547,1.303,1.066,2.978,1.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T2,Ring lost,1.383,1.661,1.793,1.654,1.739,1.875,2.235,2.451,2.336,2.23,1.733,1.913,1.871,2.442,2.419,2.199,2.24,2.609,2.201,1.479,1.29,1.288,1.111,1.129,1.281,1.987,2.007,2.155,1.965,2.282,2.343,2.261,2.282,1.913,2.165,2.02,1.479,2.028,1.818,1.798,2.071,2.718,2.664,3.184,5.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T4,0.4,0.345,0.356,0.334,0.499,0.73,0.935,0.968,1.293,1.443,1.787,1.585,1.708,1.239,1.258,0.961,0.709,0.56,0.506,0.572,0.812,0.789,0.539,0.488,0.549,0.328,0.581,0.56,0.793,0.887,0.878,0.961,1.089,1.098,0.877,1.12,1.183,0.839,0.873,1.068,1.184,1.223,1.364,1.704,1.886,1.853,1.866,1.783,1.599,1.465,1.616,1.886,2.119,2.226,2.384,2.376,2.28,1.425,0.468,1.297,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T14,0.344,0.302,0.239,0.311,0.3,0.301,0.465,0.499,0.526,0.44,0.389,0.402,0.421,0.442,0.474,0.559,0.486,0.455,0.57,0.475,0.517,0.58,0.452,0.433,0.412,0.443,0.518,0.517,0.687,0.592,0.888,0.728,0.705,0.864,0.96,0.507,0.517,0.551,0.676,0.464,0.54,0.602,0.623,0.568,0.72,0.889,0.675,0.581,0.464,0.443,0.486,0.465,0.939,0.741,0.656,0.782,0.687,0.793,0.941,1.173,1.195,0.909,0.888,0.824,0.962,1.152,0.972,0.855,0.825,0.855,0.74,0.803,0.835,1.183,2.569,2.153,1.406,,,,,,,,,,,,,,,,,,,,,,,,,,
